dataHora,ordem,linha,latitude,longitude,velocidade
04-27-2015 00:02:51,B63013,,"-22.7931","-43.2944",0
04-27-2015 00:26:51,B42613,,"-22.8764","-43.3295",0
04-27-2015 00:42:56,A63521,,"-22.867399","-43.25872",0
04-27-2015 00:45:30,B73001,,"-22.8103","-43.3433",0
04-27-2015 00:51:44,A41463,181,"-22.858","-43.246159",14
04-27-2015 01:27:30,B63105,,"-22.7923","-43.2944",1
04-27-2015 02:18:31,C60502,,"-22.81531","-43.387081",0
04-27-2015 02:35:38,B42628,,"-22.8766","-43.3297",0
04-27-2015 02:36:46,B42635,,"-22.8766","-43.3299",0
04-27-2015 02:49:22,B42607,,"-22.8764","-43.3303",0
04-27-2015 02:49:39,B42535,,"-22.8765","-43.3301",0
04-27-2015 02:53:40,B42566,,"-22.8764","-43.33",0
04-27-2015 02:55:53,B42528,,"-22.8765","-43.3298",0
04-27-2015 02:56:38,B42514,,"-22.8766","-43.3295",0
04-27-2015 02:57:00,B42526,,"-22.8765","-43.3298",0
04-27-2015 02:57:28,B42618,,"-22.8794","-43.3299",0
04-27-2015 02:57:58,B42630,,"-22.8769","-43.3302",0
04-27-2015 03:00:40,B42507,,"-22.8766","-43.3296",0
04-27-2015 03:04:39,B71059,247,"-22.9033","-43.3135",0
04-27-2015 03:15:16,B42609,,"-22.8762","-43.3299",0
04-27-2015 03:15:45,B42549,,"-22.8765","-43.3304",0
04-27-2015 03:16:27,B42600,,"-22.8761","-43.33",0
04-27-2015 03:16:51,B42610,,"-22.8762","-43.3303",0
04-27-2015 03:54:12,D87531,,"-22.915051","-43.682541",0
04-27-2015 04:03:18,B44696,,"-22.905","-43.1927",9
04-27-2015 04:51:12,A41439,,"-22.874121","-43.241829",0.37
04-27-2015 04:57:00,B32549,,"-22.818","-43.393",0
04-27-2015 05:05:24,D86209,,"-22.956011","-43.577946",63.52
04-27-2015 05:25:52,D87329,,"-22.91781","-43.608372",0
04-27-2015 05:30:54,B31010,483,"-22.8043","-43.3108",0
04-27-2015 05:49:04,B75578,928,"-22.8678","-43.335",5
04-27-2015 05:53:24,A48047,415,"-22.918028","-43.225243",107.05
04-27-2015 05:54:51,B58039,679,"-22.8471","-43.2903",0
04-27-2015 06:03:59,A29039,,"-22.890921","-43.229019",0
04-27-2015 06:07:48,B75652,928,"-22.8654","-43.3342",0
04-27-2015 06:09:26,C47919,,"-22.952684","-43.34885",0
04-27-2015 06:23:21,B10519,630,"-22.9054","-43.2419",42
04-27-2015 06:31:31,B75546,928,"-22.8655","-43.3364",26
04-27-2015 06:36:37,B31104,486,"-22.8044","-43.3092",11.3
04-27-2015 06:37:08,D90548,,"-22.919861","-43.64529",0
04-27-2015 06:38:29,A41452,181,"-22.86232","-43.247742",58
04-27-2015 06:48:40,B75582,928,"-22.866","-43.3367",0
04-27-2015 06:51:01,B42651,,"-22.8916","-43.3107",29
